hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,kapasitas,port_idle,homepass,home_connected,utilitas,instalation_olt,jumlah_port_olt,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,idle_hp,jumlah_port_terpakai,koordinat
JABAR-ODC.MJL.KASOKANDEL.6623-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Kasokandel_6623,CIREBON,KAB. MAJALENGKA,KEC. KASOKANDEL,JATISAWIT,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,28,5.47%,8 May 2023,16,,,ON AIR,241,EXISTING CLUSTER,6-12 BULAN,TUR <50%,484,16,"-6.7961780, 108.2137860"
JABAR-MINI.POP.MJL.BANTARUJG.6075-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Bantarujeg_6075,CIREBON,KAB. MAJALENGKA,KEC. BANTARUJEG,SALAWANGI,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,28,5.47%,22 May 2023,16,,,ON AIR,227,EXISTING CLUSTER,6-12 BULAN,TUR <50%,484,16,"-6.9841022, 108.2744370"
JABAR-MINIPOP.CJR.CJR.3664-HW.MA5801-OLT-01,TK 4_RJBB_Cianjur_Cianjur_3664,BANDUNG,KAB. CIANJUR,KEC. CIANJUR,SAWAH GEDE,UP3 CIANJUR,ULP CIANJUR KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,61,11.91%,24 Jun 2023,16,,,ON AIR,194,EXISTING CLUSTER,6-12 BULAN,TUR <50%,451,16,"-6.8133080, 107.1313880"
JABAR-ODC.SMD.BUAHDUA.2187-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Buahdua_2187,CIREBON,KAB. SUMEDANG,KEC. BUAHDUA,BUAHDUA,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,62,12.11%,12 May 2023,16,,,ON AIR,237,EXISTING CLUSTER,6-12 BULAN,TUR <50%,450,16,"-6.7039720, 107.9579550"
JABAR-ODC.CMS.PGD.SIDAMULIH.10825-HW.MA5801-OLT-01,TK 4_RJBB_Pangandaran_Sidamulih_10825,TASIKMALAYA,KAB. PANGANDARAN,KEC. SIDAMULIH,PAJATEN,UP3 TASIKMALAYA,ULP PANGANDARAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,155,30.27%,21 Jun 2023,16,,,ON AIR,197,EXISTING CLUSTER,6-12 BULAN,TUR <50%,357,16,"-7.6557510, 108.6103910"
JABAR-ODC.GRT.SELAAWI.3157-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Selaawi_3157,TASIKMALAYA,KAB. GARUT,KEC. SELAAWI,SELAAWI,UP3 GARUT,ULP GARUT KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,165,32.23%,18 Jun 2023,16,,,ON AIR,200,EXISTING CLUSTER,6-12 BULAN,TUR <50%,347,16,"-7.0070900, 108.0188700"
JABAR-ODC.GRT.KERSAMANAH.3594-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Kersamanah_3594,TASIKMALAYA,KAB. GARUT,KEC. KERSAMANAH,NANJUNGJAYA,UP3 GARUT,ULP GARUT KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,147,28.71%,24 Jun 2023,16,,,ON AIR,194,EXISTING CLUSTER,6-12 BULAN,TUR <50%,365,16,"-7.0802409, 108.0537046"
JABAR-ODC.GRT.GARUTKOTA.2528-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Garut Kota_2528,TASIKMALAYA,KAB. GARUT,KEC. GARUT KOTA,PAMINGGIR,UP3 GARUT,ULP GARUT KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,108,21.09%,24 Jun 2023,16,,,ON AIR,194,EXISTING CLUSTER,6-12 BULAN,TUR <50%,404,16,"-7.2138590, 107.9000550"
JABAR-ODC.MJL.LIGUNG.27349-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Ligung_27349,CIREBON,KAB. MAJALENGKA,KEC. LIGUNG,LIGUNG,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,60,11.72%,13 May 2023,16,,,ON AIR,236,EXISTING CLUSTER,6-12 BULAN,TUR <50%,452,16,"-6.6525960, 108.2827110"
JABAR-ODC.IDM.TUKDANA-HW.MA5801-OLT-01,TK 4_RJBB_Indramayu_Tukdana,CIREBON,KAB. INDRAMAYU,KEC. TUKDANA,TUKDANA,UP3 INDRAMAYU,ULP JATIBARANG,TK 4,INDOOR,HUAWEI,MINI,512,0,512,38,7.42%,27 Jun 2023,16,,,ON AIR,191,EXISTING CLUSTER,6-12 BULAN,TUR <50%,474,16,"-6.5406370, 108.2854690"
JABAR-MINIPOP.TSK.CIPATUJAH.7354-HW.MA5801-OLT-01,TK 4_RJBB_Tasikmalaya_Cipatujah_7354,TASIKMALAYA,KAB. TASIKMALAYA,KEC. CIPATUJAH,BANTARKALONG,UP3 TASIKMALAYA,ULP KARANGNUNGGAL,TK 4,INDOOR,HUAWEI,MINI,512,0,512,56,10.94%,27 Mar 2023,16,,,ON AIR,283,EXISTING CLUSTER,6-12 BULAN,TUR <50%,456,16,"-7.7427130, 108.0176750"
JABAR-MINIPOP.SUMEDANG.UTARA.8370-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Sumedang Utara_8370,CIREBON,KAB. SUMEDANG,KEC. SUMEDANG UTARA,KEBONJATI,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,117,22.85%,10 Apr 2023,16,,,ON AIR,269,EXISTING CLUSTER,6-12 BULAN,TUR <50%,395,16,"-6.8276630, 107.9355340"
JABAR-ODC.SMD.SMDNG.SELATAN.6082-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Sumedang Selatan_6082,CIREBON,KAB. SUMEDANG,KEC. SUMEDANG SELATAN,REGOL WETAN,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,139,27.15%,31 Mar 2023,16,,,ON AIR,279,EXISTING CLUSTER,6-12 BULAN,TUR <50%,373,16,"-6.8572280, 107.9240840"
JABAR-MINIPOP.SMD.CISARUA.411-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Cisarua_411,CIREBON,KAB. SUMEDANG,KEC. CISARUA,CISARUA,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,107,20.90%,23 Mar 2023,16,,,ON AIR,287,EXISTING CLUSTER,6-12 BULAN,TUR <50%,405,16,"-6.8265280, 107.9647640"
JABAR-ODC.SOR.JATIWANGI.3166-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Jatiwangi_3166,CIREBON,KAB. MAJALENGKA,KEC. JATIWANGI,LOJI,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,177,34.57%,8 Feb 2023,16,,,ON AIR,330,EXISTING CLUSTER,6-12 BULAN,TUR <50%,335,16,"-6.7267560, 108.2712560"
JABAR-ODC.KNGN.KADUGEDE.247-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Kadugede_247,CIREBON,KAB. KUNINGAN,KEC. KADUGEDE,BABATAN,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,31,6.05%,17 May 2023,16,,,ON AIR,232,EXISTING CLUSTER,6-12 BULAN,TUR <50%,481,16,"-7.0001493, 108.4568253"
JABAR-MINI.POP.IDM.ANJATAN.3030-HW.MA5801-OLT-01,TK 4_RJBB_Indramayu_Anjatan_3030,CIREBON,KAB. INDRAMAYU,KEC. ANJATAN,CILANDAK,UP3 INDRAMAYU,ULP HAURGEULIS,TK 4,INDOOR,HUAWEI,MINI,512,0,512,32,6.25%,5 Apr 2023,16,,,ON AIR,274,EXISTING CLUSTER,6-12 BULAN,TUR <50%,480,16,"-6.3302900, 107.9408810"
JABAR-ODC.GRT.TAROGONGKALER.3923-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Tarogong Kaler_3923,TASIKMALAYA,KAB. GARUT,KEC. TAROGONG KALER,TANJUNG KAMUNING,UP3 GARUT,ULP GARUT KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,73,14.26%,31 May 2023,16,,,ON AIR,218,EXISTING CLUSTER,6-12 BULAN,TUR <50%,439,16,"-7.1703880, 107.8937570"
JABAR-MINIPOP.GRT.SUCINARAJA.937-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Sucinaraja_937,TASIKMALAYA,KAB. GARUT,KEC. SUCINARAJA,MEKARWANGI,UP3 GARUT,ULP CIBATU,TK 4,INDOOR,HUAWEI,MINI,512,0,512,72,14.06%,18 Feb 2023,16,,,ON AIR,320,EXISTING CLUSTER,6-12 BULAN,TUR <50%,440,16,"-7.2016870, 107.9790370"
JABAR-MINIPOP.GARUT.CIGEDUG.1679-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Cigedug_1679,TASIKMALAYA,KAB. GARUT,KEC. CIGEDUG,CIGEDUG,UP3 GARUT,ULP CIKAJANG,TK 4,INDOOR,HUAWEI,MINI,512,0,512,38,7.42%,24 Mar 2023,16,,,ON AIR,286,EXISTING CLUSTER,6-12 BULAN,TUR <50%,474,16,"-7.3333220, 107.8055900"
JABAR-MIKROPOP.CJR.GEKBRONG.727-HW.MA5801-OLT-01,TK 4_RJBB_Cianjur_Gekbrong_727,BANDUNG,KAB. CIANJUR,KEC. GEKBRONG,CINTAASIH,UP3 CIANJUR,ULP CIANJUR KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,213,41.60%,20 Mar 2023,16,,,ON AIR,290,EXISTING CLUSTER,6-12 BULAN,TUR <50%,299,16,"-6.9085074, 107.0890384"
JABAR-BOX.SMD.CIPTASARI-HW.MA5801-OLT-01,CB3_RJBB_Sumedang_Pamulihan_Ciptasari,CIREBON,KAB. SUMEDANG,KEC. PAMULIHAN,CITALI,UP3 SUMEDANG,ULP TANJUNGSARI,CB 3,INDOOR,HUAWEI,MINI,512,0,512,81,15.82%,19 Mar 2023,16,,,ON AIR,291,EXISTING CLUSTER,6-12 BULAN,TUR <50%,431,16,"-6.8952680, 107.8297290"
JABAR-MINIPOP.GARUT.CIKAJANG.3650-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Cikajang_3650,TASIKMALAYA,KAB. GARUT,KEC. CIKAJANG,CIKAJANG,UP3 GARUT,ULP CIKAJANG,TK 4,INDOOR,HUAWEI,MINI,512,0,512,121,23.63%,20 Jun 2023,16,,,ON AIR,198,EXISTING CLUSTER,6-12 BULAN,TUR <50%,391,16,"-7.3570240, 107.8074180"
JABAR-ODC.KNGN.LEBAKWANGI.4688-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Lebakwangi_4688,CIREBON,KAB. KUNINGAN,KEC. LEBAKWANGI,LEBAKWANGI,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,68,13.28%,25 Jun 2023,16,,,ON AIR,193,EXISTING CLUSTER,6-12 BULAN,TUR <50%,444,16,"-7.0170689, 108.6014709"
JABAR-MINI.POP.MJL.TALAGA.3179-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Talaga_3179,CIREBON,KAB. MAJALENGKA,KEC. TALAGA,LAMPUYANG,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,22,4.30%,10 Jun 2023,16,,,ON AIR,208,EXISTING CLUSTER,6-12 BULAN,TUR <50%,490,16,"-7.0073471, 108.2947159"
JABAR-ODC.SMD.TANJUNGKERTA.9096-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Tanjungkerta_9096,CIREBON,KAB. SUMEDANG,KEC. TANJUNGKERTA,CIPANAS,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,40,7.81%,21 Jun 2023,16,,,ON AIR,197,EXISTING CLUSTER,6-12 BULAN,TUR <50%,472,16,"-6.7795330, 107.9031470"
JABAR-ODC.SMD.CIMANGGUNG.4092-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Cimanggung_4092,CIREBON,KAB. SUMEDANG,KEC. CIMANGGUNG,SINDANGPAKUON,UP3 SUMEDANG,ULP TANJUNGSARI,TK 4,INDOOR,HUAWEI,MINI,512,0,512,31,6.05%,31 May 2023,16,,,ON AIR,218,EXISTING CLUSTER,6-12 BULAN,TUR <50%,481,16,"-6.9603740, 107.8264260"
JABAR-MINIPOP.TSM.MANGUNREJA.3290-HW.MA5801-OLT-01,TK 4_RJBB_Tasikmalaya_Mangunreja_3290,TASIKMALAYA,KAB. TASIKMALAYA,KEC. MANGUNREJA,MARGAJAYA,UP3 TASIKMALAYA,ULP SINGAPARNA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,37,7.23%,9 Jun 2023,16,,,ON AIR,209,EXISTING CLUSTER,6-12 BULAN,TUR <50%,475,16,"-7.3743140, 108.1195890"
JABAR-BOX.SMD.CIBEUSI.HW.MA5801-OLT-01,CB3_RJBB_Sumedang_Jatinangor_Cibeusi,CIREBON,KAB. SUMEDANG,KEC. JATINANGOR,CIBEUSI,UP3 SUMEDANG,ULP TANJUNGSARI,CB 3,INDOOR,HUAWEI,MINI,512,0,512,17,3.32%,2 Jul 2023,16,,,ON AIR,186,EXISTING CLUSTER,6-12 BULAN,TUR <50%,495,16,"-6.9394420, 107.7589630"
JABAR-ODC.CRB.SUSUKANLEBAK.623-HW.MA5801-OLT-01,TK 4_RJBB_Cirebon_Susukanlebak_623,CIREBON,KAB. CIREBON,KEC. SUSUKANLEBAK,SUSUKANLEBAK,UP3 CIREBON,ULP SUMBER,TK 4,INDOOR,HUAWEI,MINI,512,0,512,60,11.72%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,452,16,"-6.8653860, 108.6204230"
JABAR-BOX.GRT.CIMUNCANG-HW.MA5801-OLT-01,CB2_RJBB_Garut Kota_Cimuncang,TASIKMALAYA,KAB. GARUT,KEC. GARUT KOTA,CIMUNCANG,UP3 GARUT,ULP GARUT KOTA,CB 2,INDOOR,HUAWEI,MINI,512,0,512,32,6.25%,9 Jun 2023,16,,,ON AIR,209,EXISTING CLUSTER,6-12 BULAN,TUR <50%,480,16,"-7.2679210, 107.9129880"
JABAR-MINI.POP.MJL.SUMBERJYA.3652-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Sumberjaya_3652,CIREBON,KAB. MAJALENGKA,KEC. SUMBERJAYA,BONGAS WETAN,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,76,14.84%,9 May 2023,16,,,ON AIR,240,EXISTING CLUSTER,6-12 BULAN,TUR <50%,436,16,"-6.6977260, 108.3585900"
JABAR-BOX.CRBN.JEMARAS-LOR-HW.MA5801-OLT-01,CB3_RJBB_Cirebon_Klangenan_Jeramas Lor,CIREBON,KAB. CIREBON,KEC. KLANGENAN,JEMARAS LOR,UP3 CIREBON,ULP CIREBON KOTA,CB 3,INDOOR,HUAWEI,MINI,512,0,512,20,3.91%,9 May 2023,16,,,ON AIR,240,EXISTING CLUSTER,6-12 BULAN,TUR <50%,492,16,"-6.6733823, 108.4528985"
JABAR-ODC.GRT.LELES.HARUMAN.2848-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Leles_Haruman,TASIKMALAYA,KAB. GARUT,KEC. SUKARESMI,SUKARESMI,UP3 GARUT,ULP LELES,TK 4,INDOOR,HUAWEI,MINI,512,0,512,209,40.82%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,303,16,"-7.1013040, 107.8994930"
JABAR-BOX.CRBN.KEDAWUNG-HW.MA5801-OLT-01,CB2_RJBB_Cirebon_Kedawung_Kedawung,CIREBON,KAB. CIREBON,KEC. KEDAWUNG,KEDUNGJAYA,UP3 CIREBON,ULP SUMBER,CB 2,INDOOR,HUAWEI,MINI,512,0,512,42,8.20%,6 Apr 2023,16,,,ON AIR,273,EXISTING CLUSTER,6-12 BULAN,TUR <50%,470,16,"-6.7137820, 108.5273090"
JABAR-ODC.CJR.CIKALONGKULON.852-HW.MA5801-OLT-01,TK 4_RJBB_Cianjur_Cikalongkulon_852,BANDUNG,KAB. CIANJUR,KEC. CIKALONG KULON,GUDANG,UP3 CIANJUR,ULP MANDE,TK 4,INDOOR,HUAWEI,MINI,512,0,512,325,63.48%,23 Feb 2023,16,,,ON AIR,315,EXISTING CLUSTER,6-12 BULAN,TUR>50%,187,16,"-6.7153050, 107.2285810"
JABAR-ODC.CRB.BEBER.2497-HW.MA5801-OLT-01,TK 4_RJBB_Cirebon_Beber_2497,CIREBON,KAB. CIREBON,KEC. BEBER,CIAWIGAJAH,UP3 CIREBON,ULP CIREBON KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,133,25.98%,31 May 2023,16,,,ON AIR,218,EXISTING CLUSTER,6-12 BULAN,TUR <50%,379,16,"-6.8620850, 108.5313660"
JABAR-BOX.GRT.PANUNJUK-HW.MA5801-OLT-01,CB3_RJBB_Garut Panunjuk,TASIKMALAYA,KAB. GARUT,KEC. BAYONGBONG,MEKARSARI,UP3 GARUT,ULP GARUT KOTA,CB 3,INDOOR,HUAWEI,MINI,512,0,512,92,17.97%,9 Apr 2023,16,,,ON AIR,270,EXISTING CLUSTER,6-12 BULAN,TUR <50%,420,16,"-7.2471000, 107.8310000"
JABAR-BOX.GRT.CILAWU-HW.MA5801-OLT-01,CB3_RJBB_Garut_Cilawu,TASIKMALAYA,KAB. GARUT,KEC. CILAWU,KARYAMEKAR,UP3 GARUT,ULP GARUT KOTA,CB 3,INDOOR,HUAWEI,MINI,512,0,512,41,8.01%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,471,16,"-7.2879500, 107.9156100"
JABAR-BOX.GRT.PANAWUAN-HW.MA5801-OLT-01,CB3_RJBB_Garut_Panawuan,TASIKMALAYA,KAB. GARUT,KEC. TAROGONG KIDUL,SUKAJAYA,UP3 GARUT,ULP GARUT KOTA,CB 3,INDOOR,HUAWEI,MINI,512,0,512,117,22.85%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,395,16,"-7.2142610, 107.8846670"
JABAR-ODC.PWK.TEGALWARU.1298-HW.MA5801-OLT-01,TK 4_RJBB_Purwakarta_Tegal Waru_1298,BANDUNG,KAB. PURWAKARTA,KEC. TEGALWARU,WARUNGJERUK,UP3 PURWAKARTA,ULP PLERED,TK 4,INDOOR,HUAWEI,MINI,512,0,512,133,25.98%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,379,16,"-6.6556690, 107.3218080"
JABAR-ODC.KNGN.LURAGUNG.1416-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Luragung_1416,CIREBON,KAB. KUNINGAN,KEC. LURAGUNG,LURAGUNGLANDEUH,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,44,8.59%,8 Jun 2023,16,,,ON AIR,210,EXISTING CLUSTER,6-12 BULAN,TUR <50%,468,16,"-7.0179558, 108.6371994"
JABAR-ODC.CRB.HARJAMUKTI.7984-HW.MA5801-OLT-01,TK 4_RJBB_Kota Cirebon_Harjamukti_7984,CIREBON,KOTA CIREBON,KEC. HARJAMUKTI,KALIJAGA,UP3 CIREBON,ULP CIREBON KOTA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,87,16.99%,20 Jun 2023,16,,,ON AIR,198,EXISTING CLUSTER,6-12 BULAN,TUR <50%,425,16,"-6.7493910, 108.5524260"
JABAR-ODC.KNGN.CIBEUREUM.1619-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Cibeureum_1619,CIREBON,KAB. KUNINGAN,KEC. CIBEUREUM,SUKARAPIH,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,43,8.40%,7 Jul 2023,16,,,ON AIR,181,EXISTING CLUSTER,6-12 BULAN,TUR <50%,469,16,"-7.0496020, 108.7217331"
JABAR-ODC.KNGN.JALAKSANAMANISLOR-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Jalaksana_Manislor,CIREBON,KAB. KUNINGAN,KEC. JALAKSANA,MANISLOR,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,72,14.06%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,440,16,"-6.9081270, 108.4893840"
JABAR-MINIPOP.GARUT.WANARAJA.9385-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Wanaraja_9385,TASIKMALAYA,KAB. GARUT,KEC. WANARAJA,WANAJAYA,UP3 GARUT,ULP LELES,TK 4,INDOOR,HUAWEI,MINI,512,0,512,171,33.40%,6 Jul 2023,16,,,ON AIR,182,EXISTING CLUSTER,6-12 BULAN,TUR <50%,341,16,"-7.1909450, 107.9720620"
JABAR-ODC.KNGN.CILIMUSCARACAS-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Cilimus_Caracas,CIREBON,KAB. KUNINGAN,KEC. CILIMUS,CARACAS,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,82,16.02%,19 Jun 2023,16,,,ON AIR,199,EXISTING CLUSTER,6-12 BULAN,TUR <50%,430,16,"-6.8581080, 108.5013710"
JABAR-ODC.KNG.ANCARAN-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Ancaran,CIREBON,KAB. KUNINGAN,KEC. KUNINGAN,ANCARAN,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,54,10.55%,29 Jun 2023,16,,,ON AIR,189,EXISTING CLUSTER,6-12 BULAN,TUR <50%,458,16,"-6.6924010, 108.5544480"
JABAR-MINIPOP.MAJALENGKA.4343-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Majalengka_4343,CIREBON,KAB. MAJALENGKA,KEC. MAJALENGKA,KULUR,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,25,4.88%,12 Jun 2023,16,,,ON AIR,206,EXISTING CLUSTER,6-12 BULAN,TUR <50%,487,16,"-6.8497109, 108.2466354"
JABAR-ODC.GRT.KRSMANAH.SKMERANG-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Kersamanah__Sukamerang,TASIKMALAYA,KAB. GARUT,KEC. KERSAMANAH,SUKAMERANG,UP3 GARUT,ULP CIBATU,TK 4,INDOOR,HUAWEI,MINI,512,0,512,122,23.83%,16 Jun 2023,16,,,ON AIR,202,EXISTING CLUSTER,6-12 BULAN,TUR <50%,390,16,"-7.0521050, 108.0119110"
JABAR-ODC.CRB.GUNUNGJATI.361-HW.MA5801-OLT-01,TK 4_RJBB_Cirebon_Gunungjati_361,CIREBON,KAB. CIREBON,KEC. GUNUNGJATI,PASINDANGAN,UP3 CIREBON,ULP SUMBER,TK 4,INDOOR,HUAWEI,MINI,512,0,512,127,24.80%,23 Jun 2023,16,,,ON AIR,195,EXISTING CLUSTER,6-12 BULAN,TUR <50%,385,16,"-6.6881180, 108.5566740"
JABAR-ODC.TSM.SARIWANGISUKAHARJA-HW.MA5801-OLT-01,TK 4_RJBB_Tasikmalaya_Sariwangi_Sukaharja,TASIKMALAYA,KAB. TASIKMALAYA,KEC. BOJONGGAMBIR,MANGKONJAYA,UP3 TASIKMALAYA,ULP SINGAPARNA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,28,5.47%,9 Jun 2023,16,,,ON AIR,209,EXISTING CLUSTER,6-12 BULAN,TUR <50%,484,16,"-7.3104747, 108.0532135"
JABAR-ODC.KUNINGAN.CIDAHU.964-HW.MA5801-OLT-01,TK 4_RJBB_Kuningan_Cidahu_964,CIREBON,KAB. KUNINGAN,KEC. CIDAHU,CIEURIH,UP3 CIREBON,ULP KUNINGAN,TK 4,INDOOR,HUAWEI,MINI,512,0,512,181,35.35%,18 Jun 2023,16,,,ON AIR,200,EXISTING CLUSTER,6-12 BULAN,TUR <50%,331,16,"-6.9814860, 108.6406860"
JABAR-ODC.MJL.LEUWIMUNDING.8348-HW.MA5801-OLT-01,TK 4_RJBB_Majalengka_Leuwimunding_8348,CIREBON,KAB. MAJALENGKA,KEC. LEUWIMUNDING,LEUWIMUNDING,UP3 SUMEDANG,ULP MAJALENGKA,TK 4,INDOOR,HUAWEI,MINI,512,0,512,41,8.01%,23 Jun 2023,16,,,ON AIR,195,EXISTING CLUSTER,6-12 BULAN,TUR <50%,471,16,"-6.7410107, 108.3455048"
JABAR-ODC.CRB.DEPOK.6426-HW.MA5801-OLT-01,TK 4_RJBB_Cirebon_Depok_6426,CIREBON,KAB. CIREBON,KEC. DEPOK,GETASAN,UP3 CIREBON,ULP SUMBER,TK 4,INDOOR,HUAWEI,MINI,512,0,512,51,9.96%,31 May 2023,16,,,ON AIR,218,EXISTING CLUSTER,6-12 BULAN,TUR <50%,461,16,"-6.7397190, 108.4542910"
JABAR-BOX.SMD.CILEMBU-HW.MA5801-OLT-01,CB3_RJBB_Sumedang_Pamulihan_Cilembu,CIREBON,KAB. SUMEDANG,KEC. PAMULIHAN,CILEMBU,UP3 SUMEDANG,ULP TANJUNGSARI,CB 3,INDOOR,HUAWEI,MINI,512,0,512,97,18.95%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR <50%,415,16,"-6.9076000, 107.8467010"
JABAR-ODC.GRT.BLUBUR.LMBNGN.5675-HW.MA5801-OLT-01,TK 4_RJBB_Garut_Blubur Limbangan_5675,TASIKMALAYA,KAB. GARUT,KEC. BALUBUR LIMBANGAN,LIMBANGAN TIMUR,UP3 GARUT,ULP LELES,TK 4,INDOOR,HUAWEI,MINI,512,0,512,127,24.80%,8 Jun 2023,16,,,ON AIR,210,EXISTING CLUSTER,6-12 BULAN,TUR <50%,385,16,"-7.0386261, 107.9707778"
JABAR-MIKROPOP.CJR.CIPANAS.6652-HW.MA5801-OLT-01,TK 4_RJBB_Cianjur_Cipanas_6652,BANDUNG,KAB. CIANJUR,KEC. CIPANAS,CIPANAS,UP3 CIANJUR,ULP CIPANAS,TK 4,INDOOR,HUAWEI,MINI,512,0,512,262,51.17%,13 Jun 2023,16,,,ON AIR,205,EXISTING CLUSTER,6-12 BULAN,TUR>50%,250,16,"-6.7394200, 107.0401190"
JABAR-BOX.CBN.GETRAKMOYAN-HW.MA5801-OLT-01,CB2_RJBB_Cirebon_Pangenan_Getrakmoyan,CIREBON,KAB. CIREBON,KEC. PANGENAN,GETRAKMOYAN,UP3 CIREBON,ULP CILEDUG,CB 2,INDOOR,HUAWEI,MINI,512,0,512,105,20.51%,6 Apr 2023,16,,,ON AIR,273,EXISTING CLUSTER,6-12 BULAN,TUR <50%,407,16,"-6.8363300, 108.6937420"
JABAR-ODC.SMD.SUKASARI.9593-HW.MA5801-OLT-01,TK 4_RJBB_Sumedang_Sukasari_9593,CIREBON,KAB. SUMEDANG,KEC. SUKASARI,SINDANGSARI,UP3 SUMEDANG,ULP TANJUNGSARI,TK 4,INDOOR,HUAWEI,MINI,512,0,512,43,8.40%,15 May 2023,16,,,ON AIR,234,EXISTING CLUSTER,6-12 BULAN,TUR <50%,469,16,"-6.8888083, 107.7698135"
