hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,kapasitas,port_idle,homepass,home_connected,utilitas,instalation_olt,jumlah_port_olt,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,idle_hp,jumlah_port_terpakai,koordinat
JABAR-MINI.POP.DARMARAJA-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. SUMEDANG_DARMARAJA,CIREBON,KAB. SUMEDANG,KEC. DARMARAJA,SUKARATU,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 2,INDOOR,HUAWEI,MINI,512,0,768,628,81.77%,14 Dec 2021,16,,JABAR-MINI.POP.DARMARAJA-ASR920-UPE-01,ON AIR,751,EXISTING CLUSTER,>2 TAHUN,TUR>50%,140,16,"-6.915775, 108.079467"
JABAR-MINI.POP.PLUMBON-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. CIREBON_PLUMBON CIREBON,CIREBON,KAB. CIREBON,KEC. PLUMBON,BODESARI,UP3 CIREBON,ULP SUMBER,TK 2,INDOOR,HUAWEI,MINI,512,0,744,580,77.96%,12 Dec 2021,16,,JABAR-ODC.ULP.SUMBER-ASR920-UPE-01,ON AIR,753,EXISTING CLUSTER,>2 TAHUN,TUR>50%,164,16,"-6.71175, 108.48593"
JABAR-MINI.POP.PLERED-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. CIREBON_PLERED,CIREBON,KAB. CIREBON,KEC. WERU,PALIMANAN,UP3 CIREBON,ULP SUMBER,TK 2,INDOOR,HUAWEI,MINI,512,0,752,609,80.98%,12 Dec 2021,16,,JABAR-ODC.ULP.SUMBER-ASR920-UPE-01,ON AIR,753,EXISTING CLUSTER,>2 TAHUN,TUR>50%,143,16,"-6.70938, 108.43549"
JABAR-MINI.POP.RANCABUNGUR-HW.MA5801-OLT-01,TK2_RJBB_KAB. TASIKMALAYA_RANCABUNGUR,TASIKMALAYA,KAB. TASIKMALAYA,KEC. SINGAPARNA,CILAMPUNGHILIR,UP3 TASIKMALAYA,ULP SINGAPARNA,TK 2,INDOOR,HUAWEI,MINI,512,0,600,328,54.67%,12 Dec 2021,16,,JABAR-ODC.ULP.SINGAPARNA-ASR920-UPE-01,ON AIR,753,EXISTING CLUSTER,>2 TAHUN,TUR>50%,272,16,"-7.33817, 108.126135"
JABAR-MINI.POP.PERUM.ASRI-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. TASIKMALAYA_PERUM ASRI RESIDENCE,TASIKMALAYA,KAB. TASIKMALAYA,KEC. SINGAPARNA,CIKUNIR,UP3 TASIKMALAYA,ULP SINGAPARNA,TK 2,INDOOR,HUAWEI,MINI,512,0,704,500,71.02%,11 Dec 2021,16,,JABAR-ODC.ULP.SINGAPARNA-ASR920-UPE-01,ON AIR,754,EXISTING CLUSTER,>2 TAHUN,TUR>50%,204,16,"-7.342108, 108.141674"
JABAR-MINI.POP.PERUM.NELAYAN-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. PANGANDARAN_PERUM NELAYAN,TASIKMALAYA,KAB. PANGANDARAN,KEC. PANGANDARAN,PANGANDARAN,UP3 TASIKMALAYA,ULP PANGANDARAN,TK 2,INDOOR,HUAWEI,MINI,512,0,736,607,82.47%,10 Dec 2021,16,,JABAR-SHELTER.GI.PANGANDARAN-ASR920-UPE-01,ON AIR,755,EXISTING CLUSTER,>2 TAHUN,TUR>50%,129,16,"-7.685354, 108.653628"
JABAR-MINI.POP.SIDAWANGI-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. KUNINGAN_SIDAWANGI,CIREBON,KAB. KUNINGAN,KEC. SUMBER,SIDAWANGI,UP3 CIREBON,ULP SUMBER,TK 2,INDOOR,HUAWEI,MINI,512,0,800,659,82.38%,11 Dec 2021,16,,JABAR-ODC.ULP.SUMBER-ASR920-UPE-01,ON AIR,754,EXISTING CLUSTER,>2 TAHUN,TUR>50%,141,16,"-6.78523, 108.47837"
JABAR-SABILULUNGAN-RC-OLT-01,SI_RJBB_BANDUNG_SABILULUNGAN,BANDUNG,KAB. BANDUNG,KEC. ARJASARI,ARJASARI,UP3 MAJALAYA,ULP BANJARAN,SI,INDOOR,RAISECOM,MIKRO,256,0,312,235,75.32%,16 Dec 2021,8,,JABAR-SHELTER.BANDUNG.SELATAN-ASR920.12SZ-UPE-02,ON AIR,749,EXISTING CLUSTER,>2 TAHUN,TUR>50%,77,8,"-7.0465754, 107.6106787"
JABAR-MINI.POP.GRAND.PERMATA-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. KARAWANG_GRAND PERMATA RESIDENCE,BANDUNG,KAB. KARAWANG,KEC. KLARI,BELENDUNG,UP3 KARAWANG,ULP KOSAMBI,TK 2,INDOOR,HUAWEI,MINI,512,0,496,242,48.79%,18 Dec 2021,16,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR <50%,254,16,"-6.351139, 107.38075"
JABAR-MINI.POP.DANO.PERMAI-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. SUMEDANG_DANO PERMAI,CIREBON,KAB. SUMEDANG,KEC. SUMEDANG UTARA,KOTAKALER,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 2,INDOOR,HUAWEI,MINI,512,0,872,845,96.90%,18 Dec 2021,16,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR>50%,27,16,"-6.83483, 107.93278"
